Crop,Soil_Type,Soil_Moisture,Temperature,Humidity,Rainfall,Nitrogen,Phosphorus,Potassium,pH,Area_Hectare,Irrigation_Hours,Yield_Ton_Per_Hectare
Rice,Loamy,11.7,18.8,56.2,713.4,149.0,21.4,39.0,6.1,4.06,3.6,3.8
Sugarcane,Loamy,82.5,38.4,65.2,1981.6,168.2,90.7,34.1,6.66,8.21,4.4,60.33
Wheat,Alluvial,24.4,26.7,46.8,422.7,107.4,57.8,5.0,7.39,6.73,3.6,2.82
Rice,Black,69.5,13.3,44.4,1717.3,113.5,48.4,5.0,7.11,5.9,5.1,3.62
Rice,Loamy,78.9,14.8,62.7,1617.7,122.9,27.8,28.4,6.63,4.09,3.2,4.29
Potato,Black,44.4,15.6,53.8,755.8,123.1,85.4,66.4,4.0,1.29,2.2,17.87
Maize,Clay,43.8,26.0,64.9,1244.5,166.7,69.9,41.4,6.25,4.55,1.7,2.53
Rice,Clay,70.8,17.6,66.7,629.9,108.7,46.3,6.4,6.86,7.23,1.2,3.54
Rice,Alluvial,64.6,27.0,49.8,1181.2,138.1,65.4,62.3,6.07,4.06,4.2,4.23
Sugarcane,Loamy,66.3,33.9,67.1,1528.3,200.0,78.1,49.2,7.99,6.46,4.9,60.35
Maize,Loamy,48.0,31.8,38.2,954.8,135.3,32.9,65.8,4.75,1.24,2.5,2.75
Sugarcane,Alluvial,75.3,33.8,71.1,2267.9,171.0,67.4,58.2,6.27,8.2,2.3,63.77
Maize,Red,55.0,26.2,23.2,407.1,136.7,58.9,46.5,6.44,10.0,2.2,2.86
Sugarcane,Clay,59.4,13.2,39.5,1778.5,181.8,100.8,39.3,6.26,6.88,5.6,59.63
Rice,Alluvial,73.1,36.2,75.4,1264.8,69.4,44.6,87.2,6.7,2.52,4.6,3.56
Tomato,Red,70.9,21.9,63.0,20.0,95.4,96.7,114.5,6.56,9.52,0.6,25.03
Rice,Black,42.6,36.6,65.6,665.1,114.6,8.7,108.5,5.12,4.3,2.6,3.2
Wheat,Red,43.9,29.6,45.2,813.8,104.1,44.1,37.3,5.67,2.46,2.1,2.82
Maize,Alluvial,37.4,25.7,58.3,628.2,158.4,75.2,26.7,5.74,4.02,4.6,2.77
Rice,Sandy,85.3,19.1,60.4,1577.8,70.8,51.6,88.1,4.03,2.8,2.7,3.18
Tomato,Sandy,35.9,17.8,48.4,367.9,116.5,88.2,116.4,6.82,5.24,2.4,24.94
Tomato,Alluvial,47.1,35.7,54.2,293.6,151.9,43.8,42.2,7.05,9.87,0.9,23.97
Sugarcane,Black,56.8,21.0,54.3,1285.0,125.1,59.1,5.0,7.05,9.83,3.8,58.26
Maize,Alluvial,54.3,26.2,49.1,526.9,155.8,64.2,91.1,7.5,3.16,1.5,2.71
Cotton,Sandy,45.0,6.1,53.1,500.3,54.3,66.0,21.5,7.21,5.07,1.8,1.71
Rice,Red,95.0,42.9,69.4,805.1,171.7,37.9,44.7,6.13,8.58,2.9,3.7
Maize,Sandy,51.6,22.8,77.5,782.7,150.1,51.8,27.8,5.85,2.06,2.7,3.09
Potato,Loamy,70.7,15.4,78.0,393.9,58.9,59.8,53.2,5.22,7.6,0.4,18.25
Tomato,Black,69.9,5.3,63.5,630.4,65.6,92.9,98.5,5.97,6.39,3.3,24.21
Sugarcane,Red,56.7,19.2,72.5,1054.8,152.1,60.4,72.0,6.77,3.75,5.3,61.35
Sugarcane,Sandy,78.6,18.6,73.0,2204.9,162.4,107.5,40.7,5.5,2.23,4.2,57.62
Potato,Sandy,68.7,19.7,73.0,256.5,93.7,84.1,84.9,6.54,1.15,1.7,18.69
Potato,Clay,62.5,14.9,41.5,214.2,136.1,52.8,134.9,4.95,2.45,2.5,20.18
Tomato,Black,73.9,21.0,59.0,638.9,135.2,69.2,78.9,6.37,9.17,2.8,24.77
Potato,Loamy,42.1,25.2,49.9,329.7,133.4,80.3,150.0,4.2,8.68,0.7,17.68
Sugarcane,Sandy,40.5,10.7,51.5,2087.0,200.0,58.5,87.2,6.18,6.08,5.0,50.33
Rice,Loamy,42.4,45.0,83.9,1193.0,91.0,35.7,52.7,5.85,3.09,3.6,4.03
Tomato,Sandy,50.4,31.2,35.7,529.8,110.8,41.8,47.3,7.11,5.91,2.4,26.78
Maize,Black,64.6,16.5,63.5,782.1,189.4,39.9,23.6,5.45,9.02,2.5,2.4
Rice,Alluvial,47.7,20.5,79.7,516.3,122.7,21.7,81.2,4.26,4.64,3.7,3.24
Cotton,Red,57.5,27.8,55.0,1037.5,164.7,63.4,34.4,6.67,8.43,2.5,1.71
Rice,Sandy,40.7,31.4,90.1,1479.9,85.9,60.5,90.5,7.26,6.82,1.7,3.35
Potato,Alluvial,48.7,19.6,38.5,651.1,74.3,64.0,133.5,4.79,3.32,1.1,22.01
Potato,Loamy,39.5,23.6,51.4,531.7,196.8,78.1,128.7,4.94,1.51,2.2,17.99
Sugarcane,Alluvial,53.7,40.5,70.6,1207.5,169.0,89.5,75.5,5.24,3.93,2.7,56.84
Maize,Sandy,64.7,28.9,79.3,1045.2,126.4,72.7,5.0,6.15,9.88,2.6,2.62
Sugarcane,Clay,29.9,23.8,65.4,1194.6,144.2,66.9,93.9,6.21,7.58,3.9,58.99
Rice,Black,94.3,37.4,73.5,415.4,130.6,49.0,5.0,7.04,4.34,4.8,3.26
Sugarcane,Clay,87.1,32.7,20.3,1879.4,143.5,89.9,66.4,6.48,0.5,3.6,56.96
Maize,Alluvial,40.7,35.3,94.5,582.1,126.6,89.1,79.5,5.78,2.77,1.9,2.45
Rice,Loamy,51.9,20.9,59.5,1291.3,146.5,30.0,74.6,5.83,9.47,5.8,3.7
Tomato,Loamy,58.0,26.9,64.3,1024.5,90.9,59.4,74.4,5.86,7.91,1.8,26.14
Wheat,Sandy,38.3,12.6,71.9,990.8,130.3,52.5,22.4,5.94,5.6,3.5,3.3
Maize,Alluvial,43.5,28.7,68.2,1052.2,114.5,62.1,5.0,5.19,2.97,2.2,2.8
Sugarcane,Clay,77.5,17.5,10.0,1047.5,186.2,76.9,93.1,5.59,5.87,4.6,55.69
Cotton,Black,54.8,32.1,76.0,980.0,141.5,63.0,45.8,7.12,3.68,1.8,1.79
Rice,Sandy,70.5,37.2,62.9,1218.1,59.2,64.9,66.1,7.73,7.91,3.8,3.69
Wheat,Sandy,43.3,24.2,69.1,710.6,106.6,63.9,66.8,5.68,1.14,0.2,3.46
Maize,Black,39.4,39.3,76.6,1260.8,121.1,56.6,28.8,7.1,8.28,2.1,2.27
Wheat,Sandy,68.4,22.9,72.5,489.2,98.3,74.6,50.8,6.69,8.64,0.2,3.09
Cotton,Sandy,57.0,34.9,65.3,506.4,115.1,84.4,112.9,5.67,2.01,2.3,1.5
Cotton,Clay,49.2,25.9,84.6,1087.8,111.0,18.4,35.7,6.63,6.69,3.4,1.61
Sugarcane,Alluvial,62.9,16.6,45.9,2341.8,186.5,84.8,83.5,7.18,1.89,4.2,54.26
Potato,Clay,44.0,8.8,60.9,297.1,105.9,101.5,115.8,4.72,8.3,2.1,18.22
Sugarcane,Loamy,95.0,28.9,65.9,1854.4,132.6,91.8,62.9,7.26,8.26,6.1,57.78
Cotton,Sandy,33.3,29.6,44.5,428.0,118.6,72.6,124.1,6.92,7.33,2.5,1.78
Maize,Black,41.0,25.7,76.4,664.0,168.0,77.5,5.0,5.48,4.02,2.4,2.89
Rice,Black,68.1,41.2,35.5,976.6,124.0,53.6,63.3,5.0,6.5,2.9,3.95
Potato,Clay,45.1,12.6,59.6,804.9,136.3,72.6,119.3,4.0,3.91,0.8,18.4
Wheat,Black,21.7,31.3,53.0,762.6,118.6,69.5,41.9,5.47,3.7,1.7,3.17
Maize,Black,26.7,11.9,35.4,1091.8,184.8,63.6,28.3,7.63,8.71,3.8,2.48
Rice,Clay,47.7,32.0,62.9,851.1,73.6,82.3,99.3,5.83,0.67,2.0,3.66
Rice,Sandy,77.7,10.3,49.0,1397.1,118.0,33.8,38.5,5.52,9.65,4.3,3.7
Maize,Red,49.4,40.0,74.4,800.0,126.5,61.3,44.9,6.56,6.93,2.8,2.58
Sugarcane,Black,31.7,33.5,65.1,922.0,174.1,62.0,53.5,6.09,1.54,5.2,58.63
Potato,Red,71.2,16.9,54.5,695.7,110.4,99.0,124.5,4.43,3.62,3.3,20.43
Maize,Alluvial,32.2,6.8,50.4,270.0,189.3,80.2,22.8,8.0,4.11,2.3,2.27
Cotton,Clay,15.0,14.8,75.3,1392.9,141.5,61.3,64.9,7.68,9.58,2.2,1.54
Maize,Loamy,36.4,21.8,34.6,668.0,110.3,37.9,44.5,7.31,3.46,3.7,2.81
Sugarcane,Loamy,47.3,24.2,68.3,996.5,153.2,43.3,45.0,6.76,5.89,5.4,61.69
Cotton,Loamy,42.3,24.6,61.8,776.6,101.5,50.8,32.5,6.47,6.3,3.6,1.88
Rice,Black,54.6,18.5,70.4,1378.4,130.9,61.4,35.8,6.35,4.53,3.1,3.8
Rice,Sandy,95.0,11.9,51.8,834.3,79.0,37.1,16.8,6.6,6.5,4.2,3.23
Maize,Loamy,16.4,8.2,75.6,531.0,90.5,80.9,44.2,6.4,3.02,3.3,2.58
Wheat,Alluvial,33.3,12.2,60.5,399.8,127.0,28.9,48.3,7.17,5.56,0.8,2.79
Rice,Loamy,95.0,30.4,49.4,1178.3,116.7,51.5,63.5,5.26,2.41,2.6,4.06
Tomato,Loamy,41.8,32.9,76.4,592.5,77.2,63.7,120.3,6.41,5.45,1.6,25.4
Sugarcane,Black,74.1,30.7,43.9,1037.3,128.9,65.2,62.2,7.07,3.4,2.9,56.35
Rice,Black,85.1,27.3,63.8,1199.4,88.5,59.3,39.0,6.93,8.84,3.8,4.28
Potato,Alluvial,51.9,12.0,68.0,266.4,120.8,79.8,127.1,5.88,1.76,4.5,19.25
Potato,Alluvial,55.2,7.5,44.0,420.6,101.7,76.3,101.4,5.92,9.68,0.2,19.35
Cotton,Loamy,23.1,26.8,41.9,795.0,145.9,74.4,44.7,8.19,1.05,1.9,1.7
Cotton,Sandy,29.0,25.6,54.2,655.4,104.8,50.1,60.9,7.95,3.41,3.0,2.12
Tomato,Red,47.2,33.6,40.9,764.8,51.7,124.0,79.8,5.37,9.66,1.7,21.62
Potato,Clay,62.0,28.9,45.1,650.6,74.0,100.7,110.4,6.36,2.39,0.6,17.54
Tomato,Loamy,23.6,23.0,54.2,579.6,142.7,80.7,115.3,6.56,4.23,2.6,25.13
Wheat,Red,50.9,20.7,72.1,419.1,119.4,86.2,16.3,4.77,2.66,1.9,3.21
Maize,Red,39.1,23.4,76.4,887.0,67.0,63.7,45.9,6.19,9.72,1.1,2.47
Potato,Sandy,40.6,16.8,74.2,509.1,99.5,94.2,94.7,5.41,9.62,3.0,20.69
Sugarcane,Loamy,63.7,17.5,59.4,972.1,151.2,86.6,33.2,6.79,0.92,4.2,58.02
Wheat,Black,60.5,5.0,43.3,530.1,129.5,56.7,38.9,8.13,0.62,2.7,2.85
Wheat,Black,83.3,27.5,65.6,1169.7,153.7,44.0,47.4,5.13,7.42,2.3,2.58
Maize,Red,49.8,28.3,53.6,394.5,184.3,50.1,56.5,7.35,1.51,3.2,2.62
Tomato,Alluvial,58.7,13.4,68.9,630.1,99.3,82.2,96.1,6.14,6.75,3.4,25.62
Tomato,Black,82.8,30.6,70.3,20.0,145.9,71.7,97.8,6.56,0.6,3.1,24.4
Maize,Alluvial,61.4,27.8,63.5,20.0,131.4,41.2,70.3,6.7,2.56,2.6,2.44
Tomato,Sandy,76.0,18.4,62.7,254.4,176.4,64.1,93.2,5.75,5.83,4.4,25.88
Potato,Loamy,43.8,24.6,59.9,841.2,153.5,67.0,123.7,6.05,5.41,0.9,17.87
Tomato,Sandy,43.5,12.5,71.6,656.4,83.6,59.2,88.4,8.12,2.19,3.2,24.8
Sugarcane,Loamy,56.2,17.0,62.1,580.4,159.7,67.0,48.3,5.22,8.79,3.6,57.87
Sugarcane,Loamy,43.9,5.0,59.6,2421.6,199.8,60.9,44.9,6.88,6.3,4.4,51.63
Cotton,Red,22.8,20.4,44.0,20.0,85.6,64.3,54.3,6.86,0.94,3.6,1.85
Cotton,Red,59.3,22.2,57.7,523.0,110.5,83.8,79.0,6.7,7.98,2.4,1.95
Rice,Red,78.0,21.4,51.6,785.0,109.2,47.4,29.4,5.87,7.0,3.9,4.03
Rice,Sandy,88.2,8.7,63.6,1757.4,59.9,61.0,44.1,6.92,1.84,2.4,3.56
Rice,Red,67.8,36.0,47.4,1591.2,90.9,54.5,51.8,5.98,8.04,1.4,3.98
Cotton,Alluvial,68.5,30.2,65.4,327.9,85.1,36.2,52.2,7.51,7.63,4.3,1.93
Maize,Black,51.5,31.1,45.4,698.2,171.2,70.1,72.7,5.75,9.66,2.3,2.53
Cotton,Clay,25.4,35.5,75.7,151.3,17.2,71.3,19.3,7.17,6.33,3.3,1.52
Potato,Red,49.0,14.8,45.7,610.1,181.9,58.6,100.6,6.63,9.69,2.3,19.15
Potato,Red,35.9,21.4,57.2,756.3,155.6,131.8,114.5,5.76,1.25,1.2,18.31
Wheat,Sandy,48.0,32.5,44.9,1020.5,159.5,57.6,5.0,6.01,5.2,1.5,3.04
Sugarcane,Clay,54.2,39.1,63.7,1719.2,163.4,45.7,108.6,5.2,7.51,4.4,56.43
Maize,Black,44.3,18.6,67.0,372.9,133.3,48.1,31.6,6.55,3.92,3.7,2.66
Cotton,Clay,52.3,23.2,72.9,712.5,53.2,21.4,35.7,5.94,1.72,3.8,1.7
Cotton,Clay,39.1,25.6,65.8,373.7,125.3,59.9,51.0,7.12,5.81,3.1,2.12
Tomato,Alluvial,28.5,20.9,34.5,573.6,132.4,52.3,73.6,6.42,8.83,1.9,27.55
Wheat,Red,67.3,22.9,51.6,100.1,145.6,46.3,86.5,7.19,2.9,1.9,2.6
Sugarcane,Clay,55.8,26.2,52.2,1625.3,147.7,87.5,50.3,5.79,2.07,5.4,65.66
Cotton,Clay,25.4,31.1,70.9,380.9,93.8,15.0,72.7,6.83,0.53,2.6,1.74
Maize,Red,46.0,7.5,66.8,297.0,113.2,46.6,34.9,6.21,0.57,1.9,2.46
Sugarcane,Red,73.6,45.0,65.7,1406.1,126.6,66.1,37.8,6.71,3.78,5.1,61.93
Maize,Alluvial,48.8,19.3,82.2,469.5,150.3,75.4,61.0,5.27,3.32,2.9,2.77
Tomato,Clay,69.6,27.3,72.3,168.0,127.6,91.7,94.8,5.65,5.72,2.1,26.62
Tomato,Alluvial,45.5,35.0,80.0,760.5,117.0,88.3,61.5,6.31,1.6,2.0,24.18
Maize,Loamy,53.8,37.5,68.4,998.2,66.4,91.2,35.3,5.59,9.15,1.6,2.46
Tomato,Loamy,73.9,20.3,48.9,410.7,143.5,72.6,54.8,6.67,4.15,4.5,24.42
Tomato,Clay,53.6,20.2,81.0,1172.4,123.5,49.4,86.1,6.64,5.41,3.6,26.05
Wheat,Sandy,67.0,22.9,82.7,1311.6,120.8,68.4,5.0,5.34,3.48,2.0,2.66
Sugarcane,Red,57.6,34.6,52.9,310.9,153.8,69.7,38.4,6.58,6.27,4.0,60.4
Rice,Black,60.7,21.6,53.5,1597.8,116.3,67.0,50.8,4.94,6.94,4.1,3.79
Maize,Black,55.3,14.5,52.2,883.6,161.3,77.1,13.8,5.24,8.03,3.9,2.53
Sugarcane,Alluvial,95.0,14.0,63.8,1743.2,182.6,72.0,67.7,6.19,1.69,3.3,60.48
Rice,Loamy,76.8,26.8,76.9,1180.0,46.8,75.2,27.4,5.48,7.74,3.7,3.61
Maize,Clay,69.0,25.8,59.2,792.8,155.6,72.9,53.9,6.27,2.4,3.4,2.77
Tomato,Sandy,52.6,31.0,95.0,495.0,168.7,65.2,113.8,7.18,1.78,1.3,23.92
Wheat,Black,28.9,16.5,52.0,928.4,135.5,74.3,50.5,6.02,7.8,3.2,3.2
Maize,Loamy,36.2,25.7,47.7,692.2,90.8,27.3,35.2,5.76,1.55,0.3,2.72
Tomato,Clay,46.5,28.0,42.5,433.3,139.4,94.7,100.7,6.03,4.31,1.5,26.79
Potato,Alluvial,50.2,5.0,69.5,177.8,121.8,85.5,134.0,4.45,1.67,2.0,18.63
Rice,Sandy,95.0,36.9,63.1,1008.3,124.2,30.5,61.9,6.4,5.75,2.3,3.75
Cotton,Red,7.0,27.8,65.0,292.1,81.2,50.3,73.9,6.17,1.1,3.3,1.63
Cotton,Red,35.1,21.8,70.9,441.3,130.8,36.7,46.0,7.76,9.14,2.9,1.82
Wheat,Alluvial,43.8,37.9,83.5,218.4,135.7,43.7,44.8,6.55,7.73,2.1,3.03
Wheat,Black,48.7,19.7,53.4,695.4,132.2,57.5,5.0,6.51,4.85,1.4,3.15
Wheat,Black,67.2,19.4,54.1,806.8,108.9,102.1,33.2,6.79,6.94,0.4,3.21
Rice,Alluvial,72.5,24.3,95.0,813.0,130.1,60.3,55.7,7.18,1.45,2.4,4.15
Rice,Black,66.1,5.9,71.7,260.1,97.7,50.3,63.5,5.97,5.43,2.3,3.99
Tomato,Sandy,47.0,20.3,63.5,706.9,104.2,56.2,61.8,5.93,4.64,1.1,25.05
Tomato,Loamy,32.7,11.3,62.5,461.9,115.2,74.9,84.4,7.49,4.28,1.9,24.59
Sugarcane,Sandy,63.1,12.9,57.4,2364.0,150.6,74.6,28.5,6.01,2.36,4.3,54.85
Maize,Loamy,30.0,26.0,67.5,1070.5,187.4,39.7,19.7,5.19,9.22,1.9,2.23
Potato,Sandy,35.4,16.8,60.6,652.0,120.1,47.5,86.8,5.68,3.11,1.8,20.94
Potato,Alluvial,44.9,17.3,57.0,179.6,133.4,87.4,101.2,5.77,2.97,4.0,18.62
Potato,Alluvial,64.6,24.1,80.4,241.3,135.8,77.6,97.7,5.82,8.62,1.3,20.56
Wheat,Clay,71.7,20.2,64.6,992.8,133.9,70.9,62.4,4.81,8.15,2.1,2.66
Potato,Red,47.1,17.5,91.5,435.8,109.2,67.0,118.6,5.36,9.94,0.7,19.42
Potato,Loamy,21.4,26.1,49.7,705.6,60.9,97.9,69.7,6.08,2.32,0.5,16.5
Sugarcane,Sandy,57.7,31.5,61.6,1803.9,200.0,38.7,100.4,6.58,3.18,4.8,58.04
Sugarcane,Clay,90.4,22.8,54.6,20.0,162.3,43.5,46.2,5.68,8.62,1.4,56.31
Tomato,Red,77.2,14.4,70.2,729.0,56.6,76.4,77.4,6.23,1.71,3.0,20.49
Wheat,Alluvial,25.4,13.3,70.2,276.6,140.0,69.3,5.0,5.96,3.59,2.9,2.91
Wheat,Loamy,59.1,20.0,51.0,1112.3,172.2,79.6,42.1,5.85,7.24,2.5,2.87
Wheat,Clay,56.7,10.0,75.8,325.6,108.5,65.0,89.9,8.99,4.01,3.1,2.75
Potato,Red,59.1,22.0,70.0,609.6,145.2,67.7,86.0,4.62,3.69,3.1,21.12
Tomato,Alluvial,21.2,26.9,79.4,20.0,133.8,65.6,96.4,6.04,6.35,2.4,28.25
Wheat,Alluvial,86.2,37.4,33.3,437.1,88.9,59.0,44.7,6.68,6.93,0.5,2.98
Maize,Black,35.9,24.0,66.4,640.5,99.6,73.6,30.2,5.86,0.69,1.0,2.73
Wheat,Black,43.0,27.6,64.0,958.1,98.1,34.4,33.9,6.01,6.94,2.2,3.13
Potato,Loamy,44.9,20.7,70.1,672.0,132.7,76.6,110.1,5.47,1.48,2.4,20.66
Sugarcane,Sandy,71.1,15.7,61.4,749.2,155.2,56.0,102.6,6.6,6.49,5.9,58.36
Maize,Loamy,28.7,26.8,86.5,495.9,113.4,58.2,91.1,6.82,7.19,3.2,2.29
Wheat,Red,60.4,36.1,35.3,705.1,116.0,39.9,7.6,6.91,9.42,0.6,3.18
Cotton,Sandy,15.1,40.3,61.0,834.8,122.7,79.2,29.2,7.56,6.82,4.2,1.59
Maize,Black,56.3,26.4,60.8,1137.7,147.9,29.5,70.5,7.03,2.44,3.3,2.63
Tomato,Clay,53.7,21.1,56.3,613.3,67.8,62.6,129.9,7.61,4.04,3.1,25.37
Cotton,Loamy,41.4,33.9,67.2,197.8,126.1,67.7,30.9,7.03,4.03,2.7,1.84
Tomato,Black,40.9,12.0,64.6,618.8,103.1,99.1,56.5,6.85,7.2,0.7,21.59
Maize,Alluvial,40.1,30.9,54.2,685.2,140.8,21.6,39.7,5.65,9.31,2.5,2.66
Potato,Black,32.4,24.5,55.8,427.3,143.7,86.8,114.3,6.27,1.55,1.0,17.68
Maize,Sandy,95.0,34.0,39.7,270.2,154.5,70.9,53.7,6.0,9.55,1.1,2.22
Rice,Alluvial,65.9,20.2,62.6,2364.3,111.0,43.7,73.0,6.39,8.66,3.1,4.14
Wheat,Sandy,53.5,14.6,68.3,351.4,107.5,54.1,64.4,7.23,5.39,1.7,3.12
Tomato,Sandy,51.1,20.5,95.0,551.3,68.7,58.7,115.5,7.97,4.45,3.6,23.04
Tomato,Sandy,41.4,28.2,68.0,20.0,99.2,71.1,93.3,6.54,5.21,2.2,26.67
Wheat,Black,36.5,11.7,58.0,707.4,39.5,65.2,38.9,5.89,5.83,3.5,3.13
Wheat,Loamy,61.5,30.6,56.6,1178.3,112.0,66.7,30.3,5.96,5.55,3.3,2.92
Sugarcane,Red,59.1,25.9,86.4,941.8,109.9,68.3,76.6,6.87,5.68,4.0,64.84
Sugarcane,Sandy,51.5,25.3,70.6,2274.7,123.4,99.1,48.7,6.4,3.82,3.8,63.05
Potato,Clay,48.0,26.4,48.6,564.7,70.2,116.4,130.2,7.7,3.83,3.1,17.54
Sugarcane,Sandy,77.0,18.7,83.7,927.4,115.5,37.8,47.8,5.95,6.25,5.5,56.2
Sugarcane,Loamy,93.6,28.1,48.8,615.9,125.8,100.1,28.6,6.78,6.2,4.9,58.38
Rice,Red,53.7,39.2,67.7,1601.9,80.3,67.1,22.7,6.71,9.42,2.1,3.78
Cotton,Alluvial,8.2,25.6,75.6,761.4,95.3,76.2,68.5,7.65,1.93,2.3,1.62
Potato,Red,71.8,16.4,66.7,788.9,131.2,89.4,66.1,5.24,5.38,1.6,20.57
Potato,Clay,59.2,14.9,68.9,732.7,138.1,100.8,99.7,5.35,5.93,0.9,19.16
Cotton,Clay,36.6,27.7,56.5,428.4,107.2,59.7,30.7,6.68,5.36,0.7,1.77
Wheat,Clay,48.5,17.2,73.3,1030.2,127.0,38.6,66.4,6.66,4.1,3.4,2.88
Sugarcane,Loamy,85.1,30.4,70.4,2330.6,148.0,56.9,89.7,7.44,4.04,6.0,56.3
Wheat,Alluvial,46.7,16.0,71.3,844.8,79.9,52.2,42.3,6.07,4.8,1.8,3.01
Cotton,Alluvial,40.8,32.5,22.1,503.6,107.2,27.0,59.7,6.84,6.04,0.8,2.01
Cotton,Red,38.7,24.4,62.9,353.6,66.1,62.5,65.7,6.36,3.22,2.8,1.84
Potato,Clay,48.6,11.1,29.8,174.6,141.9,86.3,112.3,4.02,8.0,0.8,17.81
Cotton,Alluvial,38.0,21.8,65.0,606.7,116.3,25.6,38.8,7.87,3.86,3.4,1.99
Sugarcane,Alluvial,92.2,25.1,43.8,914.4,145.2,90.7,59.0,6.65,7.29,3.1,56.93
Sugarcane,Loamy,76.3,9.7,62.6,959.7,150.5,63.0,112.6,6.19,5.82,5.1,59.86
Maize,Black,44.5,25.9,49.3,1249.3,167.8,60.6,83.2,6.26,5.37,1.9,2.74
Tomato,Alluvial,56.7,24.4,50.0,356.1,103.5,74.6,89.2,7.24,4.36,2.5,29.95
Tomato,Loamy,35.1,24.8,78.3,329.9,88.5,65.4,119.5,6.46,8.06,2.8,25.45
Tomato,Sandy,62.4,20.5,47.4,242.5,126.0,94.6,74.1,6.67,4.85,1.6,26.88
Rice,Alluvial,82.6,28.5,66.4,1732.4,125.9,80.4,52.0,7.29,7.19,3.3,3.88
Potato,Loamy,91.4,15.7,41.7,669.9,108.7,120.5,89.2,5.75,6.45,2.7,18.27
Potato,Loamy,41.0,23.5,53.6,20.0,123.9,81.7,122.0,6.74,2.4,2.1,17.11
Wheat,Clay,58.6,13.1,71.1,687.0,100.8,56.7,78.3,6.61,2.73,1.8,3.08
Rice,Alluvial,79.1,28.6,70.4,629.7,64.8,72.9,58.3,6.43,3.14,4.4,4.23
Maize,Alluvial,30.4,13.8,58.4,440.2,115.4,35.0,28.3,5.28,9.32,2.5,2.29
Sugarcane,Loamy,66.5,5.0,57.2,652.2,186.2,85.5,71.7,7.72,9.09,4.6,56.92
Tomato,Sandy,74.9,22.1,72.6,223.3,98.5,89.1,69.9,7.11,3.34,2.2,24.47
Potato,Loamy,57.6,22.9,63.4,566.3,118.3,54.0,108.7,4.91,9.52,2.4,19.86
Sugarcane,Black,32.5,37.0,53.8,1431.9,122.6,73.8,61.7,7.36,7.15,5.4,51.67
Wheat,Black,41.7,19.5,56.4,704.7,113.7,47.2,44.4,5.83,2.65,2.2,3.44
Maize,Red,57.6,40.6,33.8,889.2,138.0,69.0,29.2,6.08,1.0,1.8,2.93
Tomato,Red,35.6,24.8,69.7,521.6,102.4,72.9,93.5,6.45,2.0,2.4,27.09
